"congress","chamber","num_results","offset","members__id","members__title","members__short_title","members__api_uri","members__first_name","members__middle_name","members__last_name","members__suffix","members__date_of_birth","members__gender","members__party","members__leadership_role","members__twitter_account","members__facebook_account","members__youtube_account","members__govtrack_id","members__cspan_id","members__votesmart_id","members__icpsr_id","members__crp_id","members__google_entity_id","members__fec_candidate_id","members__url","members__rss_url","members__contact_form","members__in_office","members__cook_pvi","members__dw_nominate","members__ideal_point","members__seniority","members__next_election","members__total_votes","members__missed_votes","members__total_present","members__last_updated","members__ocd_id","members__office","members__phone","members__fax","members__state","members__district","members__at_large","members__geoid","members__missed_votes_pct","members__votes_with_party_pct","members__votes_against_party_pct"
"","","","","A000375","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000375.json","Jodey","null","Arrington","null","1972-03-09","M","R","null","RepArrington","JodeyArrington","null","412726","1016482","155685","21700","N00038285","/m/0g9_f_1","H6TX19099","https://arrington.house.gov","null","null","True","R+27","0.63","null","4","2020","928","21","0","2020-11-29 21:00:26 -0500","ocd-division/country:us/state:tx/cd:19","1029 Longworth House Office Building","202-225-4005","null","TX","19","False","4819","2.26","91.21","8.68"
"","","","","A000378","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000378.json","Cynthia","null","Axne","null","1965-04-20","F","D","null","RepCindyAxne","null","null","412772","null","179226","null","N00041104","/g/11fgktcgcb","H8IA03124","https://axne.house.gov","null","null","True","R+1","null","null","2","2020","928","17","0","2020-11-29 21:00:26 -0500","ocd-division/country:us/state:ia/cd:3","330 Cannon House Office Building","202-225-5476","null","IA","3","False","1903","1.83","93.73","6.16"
"","","","","B001291","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001291.json","Brian","null","Babin","null","1948-03-23","M","R","null","RepBrianBabin","RepBrianBabin","null","412655","44883","360","21551","N00005736","/m/010qgj35","H6TX02079","https://babin.house.gov","null","null","True","R+26","0.701","null","6","2020","928","44","0","2020-11-29 21:00:26 -0500","ocd-division/country:us/state:tx/cd:36","2236 Rayburn House Office Building","202-225-1555","null","TX","36","False","4836","4.74","91.44","8.45"
"","","","","B001298","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001298.json","Don","null","Bacon","null","1963-08-16","M","R","null","repdonbacon","RepDonBacon","null","412713","103442","166299","21701","N00037049","/m/01311t71","H6NE02125","https://bacon.house.gov","null","null","True","R+4","0.398","null","4","2020","928","1","0","2020-11-29 21:00:25 -0500","ocd-division/country:us/state:ne/cd:2","1024 Longworth House Office Building","202-225-4155","null","NE","2","False","3102","0.11","88.25","11.64"
"","","","","B001307","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001307.json","James","null","Baird","null","1945-06-04","M","R","null","RepJimBaird","null","null","412777","null","86013","null","N00041954","/g/11gfd5wndr","H8IN04199","https://baird.house.gov","null","null","True","R+17","null","null","2","2020","928","7","0","2020-11-29 21:00:27 -0500","ocd-division/country:us/state:in/cd:4","532 Cannon House Office Building","202-225-5037","null","IN","4","False","1804","0.75","96.17","3.72"
"","","","","B001306","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001306.json","Troy","null","Balderson","null","1962-01-16","M","R","null","RepBalderson","null","null","412747","null","102781","null","N00042194","/m/09ry4tm","H8OH12180","https://balderson.house.gov","","null","True","R+7","null","null","4","2020","928","1","0","2020-11-29 21:00:27 -0500","ocd-division/country:us/state:oh/cd:12","1221 Longworth House Office Building","202-225-5355","null","OH","12","False","3912","0.11","96.52","3.37"
"","","","","B001299","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001299.json","Jim","null","Banks","null","1979-07-16","M","R","null","RepJimBanks","RepJimBanks","null","412702","89806","116801","21702","N00037185","/m/0j621nj","H6IN03229","https://banks.house.gov","null","null","True","R+18","0.635","null","4","2020","928","5","0","2020-11-29 21:00:26 -0500","ocd-division/country:us/state:in/cd:3","1713 Longworth House Office Building","202-225-4436","null","IN","3","False","1803","0.54","93.55","6.34"
"","","","","B001282","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001282.json","Andy","null","Barr","null","1973-07-24","M","R","null","RepAndyBarr","RepAndyBarr","RepAndyBarr","412541","61848","117290","21333","N00031233","/m/0ddc6r6","H0KY06104","https://barr.house.gov","null","null","True","R+9","0.492","null","8","2020","928","19","0","2020-11-29 21:00:26 -0500","ocd-division/country:us/state:ky/cd:6","2430 Rayburn House Office Building","202-225-4706","null","KY","6","False","2106","2.05","95.12","4.77"
"","","","","B001300","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001300.json","Nanette","null","Barragán","null","1976-09-15","F","D","null","RepBarragan","CongresswomanBarragan","null","412687","104730","166270","21703","N00037019","/g/11bx55ybbz","H6CA44103","https://barragan.house.gov","https://barragan.house.gov/feed/","null","True","D+35","-0.513","null","4","2020","928","18","0","2020-11-29 21:00:28 -0500","ocd-division/country:us/state:ca/cd:44","1030 Longworth House Office Building","202-225-8220","null","CA","44","False","0644","1.94","98.35","1.54"
"","","","","B001270","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001270.json","Karen","null","Bass","null","1953-10-03","F","D","null","RepKarenBass","RepKarenBass","RepKarenBass","412404","62502","28963","21110","N00031877","/m/027g9m6","H0CA33117","https://bass.house.gov","https://bass.house.gov/rss.xml","null","True","D+37","-0.585","null","10","2020","928","52","1","2020-11-29 21:00:28 -0500","ocd-division/country:us/state:ca/cd:37","2059 Rayburn House Office Building","202-225-7084","null","CA","37","False","0637","5.60","98.17","1.72"
"","","","","B001281","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001281.json","Joyce","null","Beatty","null","1950-03-12","F","D","null","RepBeatty","RepJoyceBeatty","null","412565","67294","2427","21352","N00033904","/m/03lcwb","H2OH03125","https://beatty.house.gov","https://beatty.house.gov/rss.xml","null","True","D+19","-0.43","null","8","2020","928","43","0","2020-11-29 21:00:29 -0500","ocd-division/country:us/state:oh/cd:3","2303 Rayburn House Office Building","202-225-4324","null","OH","3","False","3903","4.63","99.21","0.68"
"","","","","B001287","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001287.json","Ami","null","Bera","null","1965-03-02","M","D","null","RepBera","RepAmiBera","repamibera","412512","1033636","120030","21304","N00030717","/m/0dgqnts","H0CA03078","https://bera.house.gov","https://bera.house.gov/rss.xml","null","True","D+3","-0.232","null","8","2020","928","3","0","2020-11-29 21:00:28 -0500","ocd-division/country:us/state:ca/cd:7","1727 Longworth House Office Building","202-225-5716","null","CA","7","False","0607","0.32","98.16","1.73"
"","","","","B001301","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001301.json","Jack","null","Bergman","null","1947-02-02","M","R","null","RepJackBergman","RepJackBergman","RepJackBergman","412709","1020529","170172","21704","N00039533","/m/05b2l3v","H6MI01226","https://bergman.house.gov","null","null","True","R+9","0.429","null","4","2020","928","18","0","2020-11-29 21:00:26 -0500","ocd-division/country:us/state:mi/cd:1","414 Cannon House Office Building","202-225-4735","null","MI","1","False","2601","1.94","93.24","6.65"
"","","","","B001292","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001292.json","Donald","null","Beyer","null","1950-06-20","M","D","null","RepDonBeyer","RepDonBeyer","null","412657","21141","1707","21554","N00036018","/m/053g16","H4VA08224","https://beyer.house.gov","null","null","True","R+6","-0.385","null","6","2020","928","26","0","2020-11-29 21:00:29 -0500","ocd-division/country:us/state:va/cd:8","1119 Longworth House Office Building","202-225-4376","null","VA","8","False","5108","2.80","99.00","0.89"
"","","","","B001302","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001302.json","Andy","null","Biggs","null","1958-11-07","M","R","null","RepAndyBiggsAZ","RepAndyBiggs","null","412683","105145","28088","21705","N00039293","/m/0_1m23v","H6AZ05083","https://biggs.house.gov","https://biggs.house.gov/rss.xml","null","True","R+15","0.882","null","4","2020","928","21","0","2020-11-29 21:00:25 -0500","ocd-division/country:us/state:az/cd:5","1318 Longworth House Office Building","202-225-2635","null","AZ","5","False","0405","2.26","80.42","19.47"
"","","","","B001257","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001257.json","Gus","null","Bilirakis","null","1963-02-08","M","R","null","RepGusBilirakis","GusBilirakis","RepGusBilirakis","412250","1022873","17318","20758","N00027462","/m/0dy3z1","H6FL09070","https://bilirakis.house.gov","https://bilirakis.house.gov/rss.xml","null","True","R+8","0.405","null","16","2020","928","32","0","2020-11-29 21:00:26 -0500","ocd-division/country:us/state:fl/cd:12","2227 Rayburn House Office Building","202-225-5755","null","FL","12","False","1212","3.45","93.15","6.74"
"","","","","B001311","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001311.json","Dan","null","Bishop","null","1964-07-01","M","R","null","RepDanBishop","null","null","412844","null","null","null","N00044335","/m/013bg9xz","H0NC09187","https://danbishop.house.gov/","","https://danbishop.house.gov/contact/email","True","R+8","null","null","2","2020","397","36","0","2020-11-29 21:00:26 -0500","ocd-division/country:us/state:nc/cd:9","132 Cannon House Office Building","202-225-1976","null","NC","9","False","3709","9.07","94.68","5.32"
"","","","","B001250","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001250.json","Rob","null","Bishop","null","1951-07-13","M","R","","RepRobBishop","RepRobBishop","CongressmanBishop","400029","1003621","50544","20357","N00025292","/m/02tn41","H2UT01094","https://robbishop.house.gov","https://robbishop.house.gov/rss.xml","null","True","R+26","0.536","null","18","2020","928","65","0","2020-11-29 21:00:26 -0500","ocd-division/country:us/state:ut/cd:1","123 Cannon House Office Building","202-225-0453","null","UT","1","False","4901","7.00","92.42","7.47"
"","","","","B000490","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000490.json","Sanford","D.","Bishop","Jr.","1947-02-04","M","D","null","SanfordBishop","sanfordbishop","RepSanfordBishop","400030","26194","26817","29339","N00002674","/m/02554k","H2GA02031","https://bishop.house.gov","https://bishop.house.gov/rss.xml","null","True","D+6","-0.282","null","28","2020","928","28","0","2020-11-29 21:00:28 -0500","ocd-division/country:us/state:ga/cd:2","2407 Rayburn House Office Building","202-225-3631","null","GA","2","False","1302","3.02","98.55","1.34"
"","","","","B000574","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000574.json","Earl","null","Blumenauer","null","1948-08-16","M","D","null","BlumenauerMedia","null","RepBlumenauer","400033","43809","367","29588","N00007727","/m/033tw8","H6OR03064","https://blumenauer.house.gov","https://blumenauer.house.gov/rss.xml","null","True","D+24","-0.427","null","26","2020","928","11","0","2020-11-29 21:00:27 -0500","ocd-division/country:us/state:or/cd:3","1111 Longworth House Office Building","202-225-4811","null","OR","3","False","4103","1.19","97.49","2.40"
"","","","","B001303","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001303.json","Lisa","null","Blunt Rochester","null","1962-02-10","F","D","null","RepLBR","Rep.BluntRochester","null","412689","104772","173249","21706","N00038414","/g/11c328y56v","H6DE00206","https://bluntrochester.house.gov","null","null","True","D+6","-0.332","null","4","2020","928","8","0","2020-11-29 21:00:29 -0500","ocd-division/country:us/state:de/cd:1","1519 Longworth House Office Building","202-225-4165","null","DE","At-Large","True","1000","0.86","99.46","0.44"
"","","","","B001278","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001278.json","Suzanne","null","Bonamici","null","1954-10-14","F","D","null","RepBonamici","congresswomanbonamici","RepSuzanneBonamici","412501","63966","59641","21198","N00033474","/m/02q453x","H2OR01133","https://bonamici.house.gov","https://bonamici.house.gov/rss.xml","null","True","D+9","-0.394","null","10","2020","928","4","0","2020-11-29 21:00:28 -0500","ocd-division/country:us/state:or/cd:1","2231 Rayburn House Office Building","202-225-0855","null","OR","1","False","4101","0.43","98.48","1.41"
"","","","","B001295","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001295.json","Mike","null","Bost","null","1960-12-30","M","R","null","RepBost","RepBost","null","412629","76176","6302","21519","N00035420","/m/0kry42","H4IL12060","https://bost.house.gov","https://bost.house.gov/rss.xml","null","True","R+5","0.272","null","6","2020","928","93","0","2020-11-29 21:00:26 -0500","ocd-division/country:us/state:il/cd:12","1440 Longworth House Office Building","202-225-5661","null","IL","12","False","1712","10.02","92.27","7.61"
"","","","","B001296","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001296.json","Brendan","null","Boyle","null","1977-02-06","M","D","null","CongBoyle","CongressmanBoyle","null","412652","76428","47357","21548","N00035307","/m/04f4fjk","H4PA13199","https://boyle.house.gov","https://boyle.house.gov/rss.xml","null","True","D+25","-0.397","null","6","2020","928","14","0","2020-11-29 21:00:28 -0500","ocd-division/country:us/state:pa/cd:2","1133 Longworth House Office Building","202-225-6111","null","PA","2","False","4202","1.51","98.57","1.32"
"","","","","B000755","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000755.json","Kevin","null","Brady","null","1955-04-11","M","R","null","RepKevinBrady","kevinbrady","KBrady8","400046","45749","361","29760","N00005883","/m/03tq00","H6TX08100","https://kevinbrady.house.gov","null","null","True","R+28","0.524","null","24","2020","928","56","0","2020-11-29 21:00:26 -0500","ocd-division/country:us/state:tx/cd:8","1011 Longworth House Office Building","202-225-4901","null","TX","8","False","4808","6.03","94.33","5.56"
"","","","","B001308","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001308.json","Anthony","null","Brindisi","null","1978-11-22","M","D","null","RepBrindisi","null","null","412806","null","135258","null","N00041385","/m/0hhqfyc","H8NY22151","https://brindisi.house.gov","null","null","True","R+6","null","null","2","2020","928","4","0","2020-11-29 21:00:25 -0500","ocd-division/country:us/state:ny/cd:22","329 Cannon House Office Building","202-225-3665","null","NY","22","False","3622","0.43","88.50","11.39"
"","","","","B001274","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001274.json","Mo","null","Brooks","null","1954-04-29","M","R","null","RepMoBrooks","RepMoBrooks","RepMoBrooks","412395","94888","121610","21193","N00030910","/m/0c3xdjf","H0AL05163","https://brooks.house.gov","https://brooks.house.gov/rss.xml","null","True","R+18","0.649","null","10","2020","928","11","0","2020-11-29 21:00:25 -0500","ocd-division/country:us/state:al/cd:5","2246 Rayburn House Office Building","202-225-4801","null","AL","5","False","0105","1.19","86.59","13.30"
"","","","","B001284","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001284.json","Susan","null","Brooks","null","1960-08-25","F","R","","SusanWBrooks","congresswomansusanwbrooks","SusanWBrooks","412539","623720","135988","21331","N00033495","/m/0jt8ng2","H2IN05082","https://susanwbrooks.house.gov","https://susanwbrooks.house.gov/rss.xml","null","True","R+9","0.353","null","8","2020","928","45","0","2020-11-29 21:00:25 -0500","ocd-division/country:us/state:in/cd:5","2211 Rayburn House Office Building","202-225-2276","null","IN","5","False","1805","4.85","90.87","9.02"
"","","","","B001304","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001304.json","Anthony","null","Brown","null","1961-11-21","M","D","null","RepAnthonyBrown","RepAnthonyBrown","RepAnthonyBrown","412707","1029537","19344","21707","N00036999","/m/09v6fg","H6MD04209","https://anthonybrown.house.gov","null","null","True","D+28","-0.335","null","4","2020","928","10","0","2020-11-29 21:00:28 -0500","ocd-division/country:us/state:md/cd:4","1323 Longworth House Office Building","202-225-8699","null","MD","4","False","2404","1.08","98.47","1.42"
"","","","","B001285","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001285.json","Julia","null","Brownley","null","1952-08-28","F","D","null","RepBrownley","RepJuliaBrownley","RepJuliaBrownley","412516","79783","59904","21308","N00034254","/m/027z42z","H2CA00120","https://juliabrownley.house.gov","https://juliabrownley.house.gov/category/press-releases/feed/","null","True","D+7","-0.286","null","8","2020","928","16","0","2020-11-29 21:00:28 -0500","ocd-division/country:us/state:ca/cd:26","2262 Rayburn House Office Building","202-225-5811","null","CA","26","False","0626","1.72","98.46","1.43"
"","","","","B001260","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001260.json","Vern","null","Buchanan","null","1951-05-08","M","R","null","VernBuchanan","CongressmanBuchanan","vernbuchanan","412196","1021626","66247","20709","N00027626","/m/0gtjsp","H6FL13148","https://buchanan.house.gov","https://buchanan.house.gov/rss.xml","null","True","R+7","0.359","null","14","2020","928","43","0","2020-11-29 21:00:25 -0500","ocd-division/country:us/state:fl/cd:16","2427 Rayburn House Office Building","202-225-5015","null","FL","16","False","1216","4.63","90.33","9.56"
"","","","","B001297","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001297.json","Ken","null","Buck","null","1959-02-16","M","R","null","RepKenBuck","repkenbuck","null","412619","78285","125319","21510","N00030829","/m/05zzjd2","S0CO00237","https://buck.house.gov","https://buck.house.gov/rss.xml","null","True","R+13","0.754","null","6","2020","928","109","0","2020-11-29 21:00:25 -0500","ocd-division/country:us/state:co/cd:4","2455 Rayburn House Office Building","202-225-4676","null","CO","4","False","0804","11.75","89.42","10.46"
"","","","","B001275","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001275.json","Larry","null","Bucshon","null","1962-05-31","M","R","null","RepLarryBucshon","RepLarryBucshon","RepLarryBucshon","412427","61837","120335","21132","N00031227","/m/0dd9k_y","H0IN08114","https://bucshon.house.gov","null","null","True","R+15","0.405","null","10","2020","928","27","0","2020-11-29 21:00:27 -0500","ocd-division/country:us/state:in/cd:8","2313 Rayburn House Office Building","202-225-4636","null","IN","8","False","1808","2.91","96.19","3.70"
"","","","","B001305","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001305.json","Ted","null","Budd","null","1971-10-21","M","R","null","RepTedBudd","RepTedBudd","null","412712","103513","171489","21708","N00039551","/g/11c2nmnsj0","H6NC13129","https://budd.house.gov","null","null","True","R+6","0.667","null","4","2020","928","17","0","2020-11-29 21:00:26 -0500","ocd-division/country:us/state:nc/cd:13","118 Cannon House Office Building","202-225-4531","null","NC","13","False","3713","1.83","91.58","8.31"
"","","","","B001309","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001309.json","Tim","null","Burchett","null","1964-08-25","M","R","null","RepTimBurchett","null","null","412817","null","24379","null","N00041594","/m/03yt07","H8TN02119","https://burchett.house.gov","null","null","True","R+20","null","null","2","2020","928","14","0","2020-11-29 21:00:25 -0500","ocd-division/country:us/state:tn/cd:2","1122 Longworth House Office Building","202-225-5435","null","TN","2","False","4702","1.51","88.74","11.15"
"","","","","B001248","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001248.json","Michael","C.","Burgess","null","1950-12-23","M","R","null","MichaelCBurgess","michaelcburgess","michaelcburgessmd","400052","1003620","50120","20355","N00025219","/m/03tq8_","H2TX26093","https://burgess.house.gov","https://burgess.house.gov/news/rss.aspx","null","True","R+18","0.576","null","18","2020","928","22","0","2020-11-29 21:00:26 -0500","ocd-division/country:us/state:tx/cd:26","2161 Rayburn House Office Building","202-225-7772","null","TX","26","False","4826","2.37","92.66","7.23"
"","","","","B001286","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001286.json","Cheri","null","Bustos","null","1961-10-17","F","D","null","RepCheri","RepCheri","RepCheri","412537","63949","134964","21329","N00033390","/m/0jwwtrm","H2IL17071","https://bustos.house.gov","https://bustos.house.gov/category/press-release/feed/","null","True","D+3","-0.238","null","8","2020","928","3","0","2020-11-29 21:00:28 -0500","ocd-division/country:us/state:il/cd:17","1233 Longworth House Office Building","202-225-5905","null","IL","17","False","1717","0.32","98.59","1.30"
"","","","","B001251","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001251.json","G.","K.","Butterfield","null","1947-04-27","M","D","null","GKButterfield","congressmangkbutterfield","GKBNC01","400616","1013540","41077","20340","N00027035","/m/03g_pq","H4NC01046","https://butterfield.house.gov","https://butterfield.house.gov/rss.xml","null","True","D+17","-0.404","null","18","2020","928","23","0","2020-11-29 21:00:29 -0500","ocd-division/country:us/state:nc/cd:1","2080 Rayburn House Office Building","202-225-3101","null","NC","1","False","3701","2.48","98.89","1.00"
"","","","","B001289","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001289.json","Bradley","null","Byrne","null","1955-02-16","M","R","","RepByrne","RepByrne","null","412601","73486","27584","21376","N00035380","/m/09g6kty","H4AL01123","https://byrne.house.gov","https://byrne.house.gov/rss.xml","null","True","R+15","0.611","null","8","2020","928","133","0","2020-11-29 21:00:26 -0500","ocd-division/country:us/state:al/cd:1","119 Cannon House Office Building","202-225-4931","null","AL","1","False","0101","14.33","92.65","7.22"
"","","","","C000059","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000059.json","Ken","null","Calvert","null","1953-06-08","M","R","null","KenCalvert","70063393423","RepKenCalvert","400057","26709","26777","29323","N00007099","/m/024xl1","H2CA37023","https://calvert.house.gov","https://calvert.house.gov/rss.xml","null","True","R+9","0.349","null","28","2020","928","11","0","2020-11-29 21:00:26 -0500","ocd-division/country:us/state:ca/cd:42","2205 Rayburn House Office Building","202-225-1986","null","CA","42","False","0642","1.19","93.74","6.15"
"","","","","C001112","Representative","Rep.","https://api.propublica.org/congress/v1/members/C001112.json","Salud","null","Carbajal","null","1964-11-18","M","D","null","RepCarbajal","repsaludcarbajal","repcarbajal","412686","104728","81569","21709","N00037015","/g/11c2q53dct","H6CA24303","https://carbajal.house.gov","null","null","True","D+7","-0.301","null","4","2020","928","4","0","2020-11-29 21:00:29 -0500","ocd-division/country:us/state:ca/cd:24","1431 Longworth House Office Building","202-225-3601","null","CA","24","False","0624","0.43","99.46","0.43"
"","","","","C001097","Representative","Rep.","https://api.propublica.org/congress/v1/members/C001097.json","Tony","null","Cárdenas","null","1963-03-31","M","D","null","RepCardenas","repcardenas","repcardenas","412517","63934","9754","21309","N00033373","/m/0cgzsw","H2CA28113","https://cardenas.house.gov","https://cardenas.house.gov/rss.xml","null","True","D+29","-0.382","null","8","2020","928","40","0","2020-11-29 21:00:28 -0500","ocd-division/country:us/state:ca/cd:29","2438 Rayburn House Office Building","202-225-6131","null","CA","29","False","0629","4.31","98.19","1.69"
